@relation 'twitter_spam_data'
@attribute LenghtOfProfileName NUMERIC
@attribute LenghtOfProfileDescription NUMERIC
@attribute NumberOfFollowings NUMERIC
@attribute NumberOfFollowers NUMERIC
@attribute NumberOfTweetsPost NUMERIC
@attribute AgeOfTheUserAccount NUMERIC
@attribute RatioOfNumberOfFollowingsAndFollowers NUMERIC
@attribute ReputationOfTheUser NUMERIC
@attribute FollowingRate NUMERIC
@attribute NumberOfWords NUMERIC
@attribute NumberOfCharacters NUMERIC
@attribute NumberOfCapitalizationCharacter NUMERIC
@attribute NumberOfCapitalizationWordPerWord NUMERIC
@attribute MaxWordLenght NUMERIC
@attribute MeanWordLenght NUMERIC
@attribute NumberOfExclamationMark NUMERIC
@attribute NumberOfQuestionMark NUMERIC
@attribute NumberOfURL NUMERIC
@attribute URLPerWord NUMERIC
@attribute NumberOfHashtag NUMERIC
@attribute HashtagPerWord NUMERIC
@attribute NumberOfMention NUMERIC
@attribute MentionPerWord NUMERIC
@attribute NumberOfSpamWord NUMERIC
@attribute SpamWordPerWord NUMERIC
@ATTRIBUTE class {spam,legitimate}
@data 
10,48,312,197,10598,662,0.63,0.39,0.47,5,39,5,1.0,13,0,0,0,0,0.0,0,0.0,1,0.2,0,0.0,%%%%%%%%%RT @CPropst_324: Carrie wangs ice cream
12,149,1295,1290,2487,2253,1.0,0.5,0.57,8,91,8,1.0,46,0,0,0,1,0.13,1,0.13,0,0.0,0,0.0,%%%%%%%%%Che 59 for 3 (25.3 overs)
P Jones 0
M Bishop 26
#totalcricketscorer
https://t.co/JQmn79Rsng
12,109,112,130,3057,2251,1.16,0.54,0.05,13,102,7,0.54,23,0,0,0,1,0.08,0,0.0,0,0.0,0,0.0,%%%%%%%%%Reaching a decision today is more complicated than you expect,... More for Leo https://t.co/4JwqsUH4Fi
11,4,28,11,27,79,0.39,0.28,0.35,22,136,9,0.41,23,0,0,0,1,0.05,0,0.0,1,0.05,0,0.0,%%%%%%%%%Join me on @poshmarkapp, the #1 app to buy and sell fashion. Sign up with NHNBC to get $10 off your first order. https://t.co/e2lzJDub1z
8,44,69,35,1507,411,0.51,0.34,0.17,10,83,23,2.3,16,0,3,0,0,0.0,0,0.0,1,0.1,0,0.0,%%%%%%%%%RT @jacobsartorius: HAPPY EASTER EVERYBODY😊 Hope everybody has an amazing day!!!💘
9,45,846,5090,100049,942,6.02,0.86,0.9,9,94,11,1.22,23,0,1,0,0,0.0,0,0.0,2,0.22,0,0.0,%%%%%%%%%RT @bernardokath: So pretty ❤️❤️ thanks for sending this @RufflesBags! https://t.co/xmxFClNBBS
9,41,261,206,2432,883,0.79,0.44,0.3,3,50,6,2.0,23,0,0,0,1,0.33,1,0.33,0,0.0,0,0.0,%%%%%%%%%Jump into it. #PumPumShots https://t.co/p1o3QkF2ss
14,4,982,5631,728073,2572,5.73,0.85,0.38,22,122,2,0.09,13,0,0,0,0,0.0,0,0.0,1,0.05,1,0.04,%%%%%%%%%@C_da_Esquire i wasn't gonna pay no $150 for them to pull out a few screws and switch filters but this shit is unnecessary
13,155,186,162,1170,1227,0.87,0.47,0.15,18,113,30,1.67,17,0,0,0,0,0.0,0,0.0,2,0.11,0,0.0,%%%%%%%%%RT @EchoPeterBarron: Well done @Boro. That was the longest 8 minutes of extra time but BACK IN THE PREMIER LEAGUE
12,15,217,346,5413,1327,1.59,0.61,0.16,19,82,3,0.16,8,0,0,0,0,0.0,0,0.0,0,0.0,2,0.1,%%%%%%%%%I was suppose to go to Saturday school but my ass turned off all 7 alarms I had on
9,62,526,356,4475,811,0.68,0.4,0.65,1,4,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%lies
6,158,421,5149,62875,2215,12.23,0.92,0.19,20,127,5,0.25,9,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Last night, Westbrook scored 31 points. Kawhi also scored 31 points. Westbrook missed 21 shots, Kawhi attempted 18 shots total.
14,150,2864,2256,38696,2585,0.79,0.44,1.11,14,133,11,0.79,15,0,0,0,0,0.0,2,0.14,3,0.21,0,0.0,%%%%%%%%%RT @smerconish: “I wouldn’t be doing this if there weren’t the opportunity to win” @GovGaryJohnson on #Election2016 @CNN #Libertarian
9,68,370,308,40627,1428,0.83,0.45,0.26,21,140,8,0.38,10,0,0,0,0,0.0,0,0.0,3,0.14,0,0.0,%%%%%%%%%RT @neha_aks: By the way @drkf_18, maybe you dont know but @INCIndia had reversed the Shahbano judgement by legalizing triple talaq w no ri…
8,17,1012,3714,33020,785,3.67,0.79,1.29,7,68,5,0.71,23,0,0,0,0,0.0,0,0.0,1,0.14,0,0.0,%%%%%%%%%RT @girlposts: babe: she's just a friend
me: https://t.co/OZqisbsQ03
11,53,356,460,55495,1632,1.29,0.56,0.22,20,99,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0.0,2,0.1,%%%%%%%%%amy and dan were totally gonna fuck i'm bitter that amy's gonna find out he had sex with her sister
7,140,14105,606521,140826,2846,43.0,0.98,4.96,15,105,3,0.2,16,0,0,0,0,0.0,0,0.0,1,0.07,0,0.0,%%%%%%%%%@Scott_van_slyck We received your message in Facebook message and will be responding back to you shortly.
15,19,1046,1156,57008,1737,1.11,0.52,0.6,4,59,12,3.0,23,0,0,0,1,0.25,0,0.0,1,0.25,0,0.0,%%%%%%%%%RT @Breee__Baby: This My Shit😂🙌🙌 https://t.co/Mp4eThQWeA
10,22,156,230,1741,201,1.47,0.6,0.78,13,88,4,0.31,16,0,0,0,0,0.0,0,0.0,2,0.15,0,0.0,%%%%%%%%%RT @Jbfollowhelp00: Retweet and tweet " follow me @justinbieber " for his follow back 😘
10,45,284,354,18080,743,1.25,0.55,0.38,11,49,5,0.45,9,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%tbh I wont ever get to see AC/DC at all now😭😭😭
11,128,529,572,15964,418,1.08,0.52,1.27,8,67,39,4.88,16,0,0,0,0,0.0,0,0.0,1,0.13,0,0.0,%%%%%%%%%RT @B1G_MURDA: JUST ANOTHA NIGGA OUT HERE GRINDING 💰💰💰💰💸💸💸💸
12,113,912,2223,25503,1227,2.44,0.71,0.74,23,140,7,0.3,12,0,0,0,0,0.0,0,0.0,1,0.04,0,0.0,%%%%%%%%%RT @BixberNavy: Justin Bieber is the only artist in the music industry since 2008, to be able to sell over 75 Million records.. https://t.c…
11,142,288,2189,49943,2093,7.6,0.88,0.14,9,73,21,2.33,23,0,0,1,0,0.0,0,0.0,1,0.11,0,0.0,%%%%%%%%%RT @Vale_391: "Models?  Models." HELL YES YOU ARE https://t.co/vs0zhKrASk
11,118,10745,10365,84643,1253,0.96,0.49,8.58,11,134,14,1.27,23,0,0,1,1,0.09,2,0.18,1,0.09,0,0.0,%%%%%%%%%RT @wef: #BestOf: If social networks were countries, which would they be? https://t.co/qBfBihSttP #socialmedia https://t.co/UdwGGsHklZ
9,19,20,10,230,1065,0.5,0.33,0.02,17,96,2,0.12,12,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%If your boyfriend ever stops appreciating you, give me a call. You'd find a very appreciative me
9,67,2030,303,3378,2376,0.15,0.13,0.85,10,140,16,1.6,23,0,0,0,1,0.1,0,0.0,1,0.1,0,0.0,%%%%%%%%%RT @The_Japan_News: Technical innovations continue in Japan’s world-renowned toilet industry https://t.co/qKXJ3IZtSa https://t.co/7GC7pMrc0d
10,37,1584,1703,97556,2758,1.08,0.52,0.57,12,123,23,1.92,25,0,0,0,1,0.08,5,0.42,0,0.0,0,0.0,%%%%%%%%%Personal Care Attendant - CNA Preferred - #Sullivan , MO (https://t.co/jhwIs2Wq94) Get CNA Jobs #CNA #jobs #job #GetAllJobs
15,37,199,166,1356,1084,0.83,0.45,0.18,5,29,3,0.6,8,0,0,0,0,0.0,0,0.0,1,0.2,0,0.0,%%%%%%%%%@BTS_twt eat well my bbys ily
15,45,136,98,131,23,0.72,0.42,5.91,16,86,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%hate when people tell me to lower my standards. like no, it's never gonna happen. bye.
11,34,69,24,138,11,0.35,0.26,6.27,13,95,14,1.08,23,0,0,0,0,0.0,0,0.0,1,0.08,0,0.0,%%%%%%%%%RT @FUTBorini: RT &amp; Follow for the chance to win 1,000,000 Coins ☀️ https://t.co/LopWkGaWoh
15,36,402,1988,12306,2505,4.95,0.83,0.16,11,67,6,0.55,16,0,0,1,0,0.0,0,0.0,1,0.09,0,0.0,%%%%%%%%%@AshKaneSkittles where all the GTA fans at? tell me this ain't true
8,41,364,192,1771,439,0.53,0.35,0.83,23,140,9,0.39,12,0,0,0,0,0.0,1,0.04,1,0.04,0,0.0,%%%%%%%%%RT @CorksRedFM: Can you help Liz Mooney whose  
son lost his cochlear implant yesterday at the start of the board walk in #youghal https://…
15,94,200,265,8057,276,1.33,0.57,0.72,23,140,10,0.43,17,0,2,0,0,0.0,0,0.0,1,0.04,0,0.0,%%%%%%%%%RT @musicnews_shade: 'What Do You Mean' by Justin Bieber has hit 1B views! It becomes his third music video to reach this milestone! https:…
8,4,91,1,70,1065,0.01,0.01,0.09,15,96,3,0.2,12,0,0,0,0,0.0,0,0.0,1,0.07,0,0.0,%%%%%%%%%@MawraHocane I fell in love with you...can you please stop yourself from coming in my dreams....
11,64,392,397,10634,2354,1.01,0.5,0.17,7,39,0,0.0,8,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%loving these weekends with my family 👌
12,16,5140,6249,37818,1574,1.22,0.55,3.27,5,73,11,2.2,23,0,1,0,1,0.2,1,0.2,1,0.2,0,0.0,%%%%%%%%%RT @onedirection: Weekend vibes = #OTRA memories! https://t.co/9ufwEbNIG5
13,109,138,2,820,11,0.01,0.01,12.55,10,121,6,0.6,23,0,0,1,1,0.1,1,0.1,2,0.2,0,0.0,%%%%%%%%%@MentingRealty Hi. #website to be designed or re-designed ? visit https://t.co/Qp8b1nItcY +1-888-610-5541  @mayankjainceo
7,41,104,838,108038,1423,8.06,0.89,0.07,23,144,6,0.26,12,0,0,0,0,0.0,0,0.0,1,0.04,0,0.0,%%%%%%%%%RT @evan_breen: why do the workers at McDonald's wear headsets as if they r launching McPollo 13 into space &amp; not just microwaving hamburge…
5,59,264,499,11122,2603,1.89,0.65,0.1,9,75,16,1.78,23,0,0,0,0,0.0,0,0.0,1,0.11,0,0.0,%%%%%%%%%RT @ItsFoodPorn: Like for Thin Mints, RT for Samoas https://t.co/3ApAeNsI3G
9,26,1200,1043,83741,1283,0.87,0.47,0.94,1,15,0,0.0,15,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%diamond☆fujisan
12,19,50,70,4298,81,1.4,0.58,0.62,11,84,28,2.55,23,0,0,0,0,0.0,0,0.0,1,0.09,0,0.0,%%%%%%%%%RT @MicFeed: Gotye - Somebody I Used To Know ISOLATED VOCALS https://t.co/vQVkKvqwUi
10,159,69,51,3297,1689,0.74,0.43,0.04,6,59,5,0.83,13,0,0,0,0,0.0,0,0.0,2,0.33,1,0.14,%%%%%%%%%@GoodVetGuide @StephCowburn hello guys, have a good weekend
13,82,231,310,2326,554,1.34,0.57,0.42,5,19,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%(it as in the show)
10,47,1400,9383,5758,983,6.7,0.87,1.42,17,118,16,0.94,12,0,2,0,0,0.0,0,0.0,3,0.18,0,0.0,%%%%%%%%%RT @KOCOShelby: @BleuGarten @KOCOmarkie hehe don't forget we go to sleep really early! Hard to find derby gear at 2AM!
11,28,373,1011,7996,124,2.71,0.73,3.01,4,50,8,2.0,23,0,0,0,0,0.0,0,0.0,1,0.25,0,0.0,%%%%%%%%%RT @x_waddap: yesterday 💕 https://t.co/DKDqUfcaDY
10,60,367,362,5167,548,0.99,0.5,0.67,14,74,3,0.21,8,0,0,0,0,0.0,0,0.0,1,0.07,0,0.0,%%%%%%%%%RT @thebxy: Gotta pray hard to make sure "okay" is not all you’ll ever be.
10,101,183,288,8352,1632,1.57,0.61,0.11,2,45,9,4.5,23,0,0,0,1,0.5,0,0.0,1,0.5,0,0.0,%%%%%%%%%@MontanaStuart LOL US https://t.co/7lGeycubIy
12,7,136,89,2424,757,0.65,0.4,0.18,25,130,5,0.2,10,0,0,0,0,0.0,0,0.0,0,0.0,1,0.04,%%%%%%%%%I'm a huge asshole. So I'm nice to you even in the slightest way. Appreciate it because I could have you crying and doubting life.
8,48,51572,81286,91504,1905,1.58,0.61,27.07,5,73,11,2.2,23,0,1,0,1,0.2,1,0.2,1,0.2,0,0.0,%%%%%%%%%RT @onedirection: Weekend vibes = #OTRA memories! https://t.co/9ufwEbNIG5
15,127,69697,74221,10313,669,1.06,0.52,104.18,8,116,15,1.88,23,0,0,0,1,0.13,3,0.38,0,0.0,0,0.0,%%%%%%%%%One of our favourite resorts in Varadero #Cuba #allinclusive #travel https://t.co/gpHJ0hLJLf https://t.co/UAOHWxTipV
9,75,321,2861,50223,1261,8.91,0.9,0.25,22,144,8,0.36,13,0,0,0,0,0.0,1,0.05,1,0.05,1,0.04,%%%%%%%%%RT @JennLaFleur: Jared just asked who can count the alphabet backwards &amp; Jensen doesn't have a fucking clue what is happening. "He needs hi…
15,116,1953,1488,34405,2245,0.76,0.43,0.87,6,61,11,1.83,23,0,0,0,1,0.17,0,0.0,1,0.17,1,0.14,%%%%%%%%%RT @VierVisual: Eat young nigga 😈🔥  https://t.co/PJgZSHBak6
9,4,472,188,52475,423,0.4,0.28,1.12,7,107,12,1.71,23,0,0,0,0,0.0,0,0.0,3,0.43,0,0.0,%%%%%%%%%RT @ShahrukhKhan_FC: New still from @AqualiteIndia advertisement featuring @iamsrk. https://t.co/8qu8YzrI7O
9,116,698,1050,39223,2206,1.5,0.6,0.32,15,80,2,0.13,10,0,0,0,0,0.0,0,0.0,1,0.07,1,0.06,%%%%%%%%%@badassday It won't be hard to get a ticket for their games. It's always empty .
7,147,411,630,8189,1942,1.53,0.61,0.21,11,89,0,0.0,12,0,0,0,0,0.0,3,0.27,0,0.0,0,0.0,%%%%%%%%%5 team kick off 3 early kick offs with noticing 🙈🙈 #3winsthough #onnewcastle #onwestham
10,21,394,74,3071,235,0.19,0.16,1.68,6,64,6,1.0,23,0,0,0,0,0.0,0,0.0,1,0.17,0,0.0,%%%%%%%%%RT @Abymarano: Painting myself DU30 👊🏻 https://t.co/mqnxixxaxi
14,121,521,735,17342,581,1.41,0.59,0.9,10,97,8,0.8,23,0,0,0,1,0.1,0,0.0,1,0.1,0,0.0,%%%%%%%%%RT @ChelseaFC: Live audio commentary of today's game is available here... https://t.co/XEwhoz9ccf
7,45,411,579,3652,1085,1.41,0.58,0.38,21,119,10,0.48,11,0,0,0,0,0.0,0,0.0,1,0.05,0,0.0,%%%%%%%%%RT @sickolia_: United for 4th. Need to see Pep in the Europa League in some maize fields in Ukraine on Thursday Nights.
10,130,808,5153,2779,717,6.38,0.86,1.13,3,55,9,3.0,23,0,0,0,1,0.33,1,0.33,0,0.0,0,0.0,%%%%%%%%%Top #producthunt today: FormBox https://t.co/7sSIKB5LMj
13,48,3049,2558,867584,631,0.84,0.46,4.83,6,109,8,1.33,23,0,0,0,1,0.17,9,1.5,0,0.0,0,0.0,%%%%%%%%%✔ https://t.co/bcObBXdQhP #info #paris #usa ♜#mmmglobal ♜ #gold #leaks #f4f #rt #Swiss honour for Yash Chopra
15,100,410,1699,15448,1183,4.14,0.81,0.35,1,18,0,0.0,13,0,0,0,0,0.0,0,0.0,1,1.0,0,0.0,%%%%%%%%%@archdakiller yeah
10,10,534,240,1879,428,0.45,0.31,1.25,4,31,1,0.25,10,0,0,0,0,0.0,0,0.0,1,0.25,0,0.0,%%%%%%%%%@Avrilamoi lol gotta have faith
9,4,57,161,30615,801,2.82,0.74,0.07,13,111,13,1.0,23,0,0,0,0,0.0,0,0.0,1,0.08,0,0.0,%%%%%%%%%RT @5HonTour: Lauren with Jillian, Debby Ryan and Keana (via thejillboard on Instagram) https://t.co/TsTtvsR0f7
10,153,2086,758,88686,829,0.36,0.27,2.52,25,118,3,0.12,9,0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Our system is at the top of myfxbook. In 2 days we made $110,000 from $1,050 deposit.  This is a dream of each trader!
13,4,21,40,172,31,1.9,0.66,0.68,10,64,6,0.6,8,0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Brad Paisley, new single “Without a Fight” features Demi Lovato!
14,132,221,734,21599,261,3.32,0.77,0.85,5,73,11,2.2,23,0,1,0,1,0.2,1,0.2,1,0.2,0,0.0,%%%%%%%%%RT @onedirection: Weekend vibes = #OTRA memories! https://t.co/9ufwEbNIG5
12,20,608,438,8882,1762,0.72,0.42,0.35,6,58,9,1.5,23,0,0,0,1,0.17,0,0.0,1,0.17,0,0.0,%%%%%%%%%RT @IgotAbigNick: We hit a K 😳... https://t.co/f6gndXr00I
13,47,249,304,8636,375,1.22,0.55,0.66,7,39,3,0.43,10,0,0,0,0,0.0,0,0.0,1,0.14,0,0.0,%%%%%%%%%RT @girlmsgs: You cross my mind, a lot.
12,36,628,1017,16558,1185,1.62,0.62,0.53,26,140,11,0.42,14,0,0,0,0,0.0,0,0.0,1,0.04,0,0.0,%%%%%%%%%RT @FreddyAmazin: i have no idea where this wall is but Beyonce ALWAYS finds her way back to it when its time to take a picture https://t.c…
15,19,37,42,1260,1369,1.14,0.53,0.03,4,61,17,4.25,23,0,0,0,0,0.0,1,0.25,1,0.25,0,0.0,%%%%%%%%%RT @itsBroStinson: Be patient. #HIMYM https://t.co/KSh3IOWnAP
15,130,539,1536,150734,2370,2.85,0.74,0.23,19,138,23,1.21,23,0,1,0,1,0.05,0,0.0,0,0.0,1,0.05,%%%%%%%%%Food For Thought: Dick Gregory Speaks Out On Prince &amp; Afeni Shakur's Passing! "They Killed Prince On The Plane https://t.co/ronYLZMFmo
7,43,709,804,12626,1326,1.13,0.53,0.53,3,13,1,0.33,6,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Old photos 💔
13,4,146,25,314,1237,0.17,0.15,0.12,5,42,19,3.8,17,0,4,0,0,0.0,0,0.0,1,0.2,0,0.0,%%%%%%%%%RT @RealBobMortimer: WE FUCKING DID IT!!!!
10,138,81,167,20244,2541,2.06,0.67,0.03,7,93,12,1.71,23,0,2,0,1,0.14,1,0.14,0,0.0,0,0.0,%%%%%%%%%The Whale Sanctuary Project' Has Officially Launched!! #EmptyTheTanks https://t.co/x41dpV2Zvc
15,4,221,73,192,330,0.33,0.25,0.67,10,68,3,0.3,16,0,0,1,0,0.0,0,0.0,1,0.1,0,0.0,%%%%%%%%%@the_FF_engineer do you have this chart for the first round? Thanks.
15,149,433,1456,7163,1822,3.36,0.77,0.24,9,74,14,1.56,23,0,0,1,0,0.0,0,0.0,1,0.11,0,0.0,%%%%%%%%%RT @Finn_Matti: What if I sound like I'm bragging? https://t.co/QcVWJ0QCV4
12,4,394,114,454,222,0.29,0.22,1.77,12,88,11,0.92,23,0,0,0,0,0.0,0,0.0,1,0.08,0,0.0,%%%%%%%%%RT @SexualGif: When you finally settle down with a real one 💕🔐 https://t.co/AxFGiS13CE
11,126,16584,28381,160143,2773,1.71,0.63,5.98,3,73,13,4.33,23,0,0,0,1,0.33,1,0.33,0,0.0,0,0.0,%%%%%%%%%Mother's Day #Infographic https://t.co/20ST6YJXmr https://t.co/X82C1xONVr
12,18,194,152,277,51,0.78,0.44,3.8,5,73,11,2.2,23,0,1,0,1,0.2,1,0.2,1,0.2,0,0.0,%%%%%%%%%RT @onedirection: Weekend vibes = #OTRA memories! https://t.co/9ufwEbNIG5
12,25,418,464,5307,968,1.11,0.53,0.43,32,132,2,0.06,6,0,0,2,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Was real nice of my mum to come home and see me for about 2 hours before she left again , see u in about a week then I guess ?? 🙂✈️
11,10,651,873,31178,419,1.34,0.57,1.55,10,77,7,0.7,23,0,0,0,0,0.0,0,0.0,1,0.1,1,0.09,%%%%%%%%%RT @kingtaedom: in less than 5 months.. my bitch won. https://t.co/8dEljFRVLz
6,125,513,355,13443,2255,0.69,0.41,0.23,4,41,4,1.0,23,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Discount card. 😍 https://t.co/nb7wBzXgnS
8,72,694,1217,67275,1723,1.75,0.64,0.4,9,49,2,0.22,11,0,0,1,0,0.0,0,0.0,1,0.11,0,0.0,%%%%%%%%%@NimuKarago what do you think of the new season ?
14,45,2,151,422665,678,75.5,0.99,0.0,8,140,23,2.88,23,0,0,0,1,0.13,6,0.75,0,0.0,0,0.0,%%%%%%%%%iPhone 5s Leather Sleeve | RINGO | https://t.co/FPGLxmW2qt | #iPhone5Sleeve #iPhoneSleeve #iPhone5sSleeve #iPhone5c #iPhone5sCover #iPhone5s
9,146,1379,602,7975,77,0.44,0.3,17.91,21,144,3,0.14,19,0,0,0,0,0.0,0,0.0,1,0.05,0,0.0,%%%%%%%%%RT @flhuxtable: Socialists/liberals have the morality of a bank robber: they take, by force, your money to enrich themselves &amp; their follow…
10,25,60,602,137259,2050,10.03,0.91,0.03,9,74,6,0.67,23,0,0,0,0,0.0,0,0.0,1,0.11,0,0.0,%%%%%%%%%RT @jeongmilk: what jungkook said in his video ;A; https://t.co/LzygeZlhGd
10,158,0,1,136,325,2.147483647E9,0.0,0.0,15,134,10,0.67,23,0,1,0,1,0.07,2,0.13,0,0.0,0,0.0,%%%%%%%%%We're #hiring! Read about our latest #job opening here: Pediatric Geneticist - The University of Maryland... - https://t.co/3ZO0Bqxfrl
7,4,64,73,29191,196,1.14,0.53,0.33,12,140,37,3.08,28,0,4,0,0,0.0,1,0.08,3,0.25,1,0.08,%%%%%%%%%RT @ofcaldub_SugDN: Them assuring us for the EXCLUSIVE BTS! 
ADN is the HAPPIEST!!Yeeeeey!
@mainedcm @aldenrichards02 

#ALDUBBonVoyage htt…
14,82,58,177,1372,4,3.05,0.75,14.5,24,140,8,0.33,14,0,0,0,0,0.0,0,0.0,1,0.04,0,0.0,%%%%%%%%%RT @BobOngQuotes: It's painful how one year, or one week or one month ago everything started to fall apart. And yet you're still there. Wai…
15,83,674,438,4735,375,0.65,0.39,1.8,11,58,4,0.36,14,0,0,0,0,0.0,0,0.0,1,0.09,0,0.0,%%%%%%%%%RT @ArianaGrande: &amp; all i wanna do is to fall in deeep
13,90,979,335,8244,2480,0.34,0.25,0.39,14,136,26,1.86,28,0,1,0,0,0.0,1,0.07,1,0.07,0,0.0,%%%%%%%%%RT @carlyndemariano: Proud to be part of the silent majority for We definitely have STANDARDS!#MIRIAMREDvolution https://t.co/V1lZi2tMJa
14,51,2748,4148,74489,860,1.51,0.6,3.2,6,62,12,2.0,23,0,0,0,1,0.17,0,0.0,1,0.17,0,0.0,%%%%%%%%%RT @_AdorableBird: On god I don't 💁🏽 https://t.co/5GUpXvXCCm
11,100,140,352,1039,2533,2.51,0.72,0.06,7,135,17,2.43,23,0,0,0,1,0.14,5,0.71,0,0.0,0,0.0,%%%%%%%%%Allstate Insurance #Insurance #Job: Licensed Financial Services Representative (HI) https://t.co/j7POmapKDT #allstateopps #Jobs #Hiring
15,114,587,39,1856,18,0.07,0.06,32.61,7,92,20,2.86,23,0,0,0,1,0.14,0,0.0,1,0.14,0,0.0,%%%%%%%%%RT @CarCrashesTV: Car Crash Compilation # 70 https://t.co/Fj21u7BDB0 https://t.co/BYVagXLZX2
14,18,557,797,21431,1367,1.43,0.59,0.41,12,102,7,0.58,23,0,0,0,0,0.0,0,0.0,1,0.08,0,0.0,%%%%%%%%%RT @WeNeedFeminlsm: girls can't even enjoy their hs prom without getting hate. https://t.co/k5kfQrau8A
6,22,94,140,11758,384,1.49,0.6,0.24,12,131,42,3.5,29,0,0,0,0,0.0,1,0.08,1,0.08,0,0.0,%%%%%%%%%RT @iKON_INTL: [PREVIEW] 160507 iKON during WAIT FOR ME stage at #iKONCERTinHongKong
(credits: eamonn.chui) https://t.co/LswYoEPA2u
10,36,331,319,6354,1600,0.96,0.49,0.21,7,47,5,0.71,23,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%this is what i live for https://t.co/SNSQ6dfuZ7
15,144,7942,8341,113975,1977,1.05,0.51,4.02,13,94,6,0.46,23,0,1,0,1,0.08,0,0.0,0,0.0,0,0.0,%%%%%%%%%Right.... I just wish she get herself together &amp; give us one more! https://t.co/b1fMdjXSOo
15,63,61,1587,8815,963,26.02,0.96,0.06,7,51,1,0.14,16,0,0,0,0,0.0,0,0.0,1,0.14,1,0.13,%%%%%%%%%@juliewe22066031 Gonna fuck you 2 brains out 💦👅😏
10,8,727,1757,50468,1363,2.42,0.71,0.53,14,112,12,0.86,23,0,0,0,1,0.07,0,0.0,1,0.07,0,0.0,%%%%%%%%%RT @BullHunitProof: Kanye look like he just realized they forgot Saint in the hotel room https://t.co/VYgP9xvmKX
15,123,1676,1005,10248,2440,0.6,0.37,0.69,3,48,6,2.0,23,0,1,0,1,0.33,0,0.0,0,0.0,0,0.0,%%%%%%%%%Talk about perseverance! https://t.co/jkCXnwgWDK
9,13,2056,277,703,1188,0.13,0.12,1.73,12,59,7,0.58,10,0,0,0,0,0.0,0,0.0,1,0.08,0,0.0,%%%%%%%%%RT @FaZeApex: RT like and reply if you wanna be in the vlog
9,116,482,538,14757,1375,1.12,0.53,0.35,4,39,2,0.5,12,0,0,0,0,0.0,0,0.0,1,0.25,0,0.0,%%%%%%%%%RT @sosadtoday: horoscope: avoid people
13,1,88,99,495,8,1.13,0.53,11.0,7,44,5,0.71,16,0,0,1,0,0.0,0,0.0,1,0.14,1,0.13,%%%%%%%%%@xTheyHatingGIA_ aint shit hi u were u been?
12,15,633,560,2995,407,0.88,0.47,1.56,2,26,1,0.5,14,0,0,0,0,0.0,0,0.0,1,0.5,0,0.0,%%%%%%%%%@okay_imAnazhi can't sleep
13,12,417,567,20656,2136,1.36,0.58,0.2,10,58,2,0.2,15,0,0,0,0,0.0,0,0.0,1,0.1,0,0.0,%%%%%%%%%@MariusHollenga if you like this you should see gush ha ha
11,75,337,1074,455138,1417,3.19,0.76,0.24,14,100,17,1.21,23,0,0,0,1,0.07,0,0.0,0,0.0,0,0.0,%%%%%%%%%US Court Awards African Man $2 Million For Spending 40 Years In Jail Wrongly https://t.co/Kz6dHJPmcs
7,18,1882,960,23612,669,0.51,0.34,2.81,14,113,7,0.5,23,0,0,0,0,0.0,0,0.0,1,0.07,0,0.0,%%%%%%%%%RT @itsagirlgame: Girls born in April:
- about food (1)
- about tecnology (2)
- love dogs https://t.co/RVqaryxymY
14,4,566,276,542,90,0.49,0.33,6.29,29,129,7,0.24,7,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Still the one. Brian Mc knight my dream guy is out there lol yes He is. My kids will b mad to know I believe this. Enjoy your day
9,159,2713,2159,47506,1025,0.8,0.44,2.65,10,81,10,1.0,23,0,0,0,0,0.0,0,0.0,1,0.1,0,0.0,%%%%%%%%%RT @DineshDSouza: "And to think I started out dead broke" https://t.co/uww5C2mkQR
15,11,39745,38418,10040,1301,0.97,0.49,30.55,8,73,9,1.13,23,0,0,0,0,0.0,0,0.0,1,0.13,0,0.0,%%%%%%%%%RT @DailyVibes_: Before we make any more promises https://t.co/24zvMFK8mQ
10,20,39,73,71320,399,1.87,0.65,0.1,5,91,14,2.8,23,0,0,0,1,0.2,0,0.0,0,0.0,0,0.0,%%%%%%%%%BestMasterFurniture Adjustable Sleeper Sofa https://t.co/OcKhW1ojcM https://t.co/PMZ338Vaql
